name,description,recipe_code,image_url
Aubergines farcies au poulet,Des aubergines gourmandes et étonnantes qui vont ravir vos invités !,12,https://res.cloudinary.com/dodtdqhy0/image/upload/v1637695414/aubergines-farcies-poulet_x22xsc.jpg
Purée de potimarron au thym et romarin,"Une recette de purée de saison, chaleureuse et goûteuse.",13,https://res.cloudinary.com/dodtdqhy0/image/upload/v1637696776/puree-potimarron_thw0p0.jpg
Spaghettis de courgettes au pesto,Surprenez votre famille avec cette recette originale !,14,https://res.cloudinary.com/dodtdqhy0/image/upload/v1637697762/spaghettis-de-courgettes-au-pesto_fygwpk.jpg
Rôti de veau en cocotte,"Qui se souvient des bons plats de nos grands-mères faits en cocotte ? Avec ce mélange de saveurs, cette recette simple et rapide à préparer sera idéal pour vos plats familiaux !",15,https://res.cloudinary.com/dodtdqhy0/image/upload/v1637698952/roti-de-veau-en-cocotte_fybttf.jpg
Tarte aux tomates et aux poireaux,"En entrée ou en plat du soir, cette tarte aux légumes sera parfaite pour un repas chaud et simple. De saison, elle sera excellente accompagnée d'une bonne salade verte.",16,https://res.cloudinary.com/dodtdqhy0/image/upload/v1637700028/tarte-aux-tomates-et-aux-poireaux_fk3ouf.jpg
Sauté de porc aux figues,Une recette de sauté de porc aux figues simple à réaliser pour un délicieux plat sucré-salé.,17,https://res.cloudinary.com/dodtdqhy0/image/upload/v1637701326/saute-de-porc-aux-figues_s6heug.jpg
Fondue fribourgeoise,"La recette traditionnelle de la fondue traditionnelle de Fribourg, en Suisse, un plat d'hiver à partager en famille pour un repas gourmand.",18,https://res.cloudinary.com/dbogiehad/image/upload/v1637747977/recipes/fondue-fribourgeoise-1_jscqov.jpg
chou-fleur rôti au curcuma,Voilà un plat idéal pour les végétariens. Le curcuma est réputé pour ses multiples vertus pour la santé et permet des recettes aussi saines que dépaysantes.,19,https://res.cloudinary.com/dbogiehad/image/upload/v1637749877/recipes/chou-fleur-roti-au-curcuma-1_wingiu.jpg
polenta au chorizo,"Ce plat rapide, économique et copieux est idéal pour combler l'appétit des petits et des grands. Le tout avec des ingrédients qui trainent dans nos placards.",20,https://res.cloudinary.com/dbogiehad/image/upload/v1637751208/recipes/polenta-au-chorizo-1_cu3frj.jpg
pilons de poulet façon kfc,Plus la peine de sortir pour déguster ces fameux morceaux de poulet. Ce délicieux plat ravira les petits et les grands !,21,https://res.cloudinary.com/dbogiehad/image/upload/v1637752754/recipes/blanc-poulet-facon-tenders-kfc_ciyoao.jpg
galette saumon,"Celle-ci se veut sophistiquée et apprécie qu'on la déguste avec un vin blanc approprié... (mais vous pouvez aussi l'engloutir au cours d'un brunch avec un grand café, on ne vous dira rien !).",22,https://res.cloudinary.com/dbogiehad/image/upload/v1637754099/recipes/i97646-galette-au-chevre-et-au-saumon-fume_a9onhe.jpg
gratin de pommes de terre et courgettes,Une délicieuse recette de gratin qui régalera tout le monde.,23,https://res.cloudinary.com/dbogiehad/image/upload/v1637760003/recipes/gratincourgettepdtbechamel-16274-1000x500_krfyzs.jpg
poulet rôti au citron et à l'ail,Un délicieux poulet rôti avec une touche citronnée et un bon goût d'ail pour un repas en famille original.,24,https://res.cloudinary.com/dbogiehad/image/upload/v1637761759/recipes/Pouletrotiaucitronetalail-1000x500_y888e6.jpg
